target_conductivity,repeat,generation_idx,mol_smiles,duplicate,diversity,validity,has_two_ends
0,1,29,O=C([Au])NC(CCO[Cu])CSCCCCF,False,novel,ok,True
0,1,29,CCC(COC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,COC(=O)CN(C)CC(COC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,CCCC(NC(CC)CC(C)CO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,CC(NC(=O)[Au])C(=O)NCCO[Cu],False,novel,ok,True
0,1,29,CC(=CC)C(=O)NCC(CO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,CC(C)NC(=O)C(CCCNC(=O)[Au])N[Cu],False,novel,ok,True
0,1,29,CCCC(C)(O[Cu])C(=O)NOC(C)OC(=O)[Au],False,novel,ok,True
0,1,29,O=C([Au])OC(CCO[Cu])C(C)(OC)C(NF)F,False,novel,ok,True
0,1,29,CN(CC(=O)O)C(CCO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,COC(CNC(CNC(=O)[Au])C(C)C)(C)O[Cu],False,novel,ok,True
0,1,29,COCC(CNC(=O)C(C)N[Cu])OCCOC(=O)[Au],False,novel,ok,True
0,1,29,COCCC(CNC(C)COC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,CC(CO[Cu])CN(C)CCCOC(=O)[Au],False,novel,ok,True
0,1,29,CC(C)C(CN[Cu])NC(=O)C(C)(C)OC(=O)[Au],False,novel,ok,True
0,1,29,CC(NCC(=O)NC(CNC(=O)[Au])C)N[Cu],False,novel,ok,True
0,1,29,C=CCN(CC#C)CC(CO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,CCN(CCC)CC(=O)C(CO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,NC(=O)CN(CCO[Cu])CCC(C)(C)OC(=O)[Au],False,novel,ok,True
0,1,29,CC(COC(=O)[Au])CSCC#CCO[Cu],False,novel,ok,True
0,1,29,CC(CNC(=O)[Au])S(=O)NCC(C)N[Cu],False,novel,ok,True
0,1,29,CC(C)C(COC(=O)[Au])C(=O)NCC=CCO[Cu],False,novel,ok,True
0,1,29,CC(C)(C)(CNC(=O)[Au])O[Cu],False,novel,"Explicit valence for atom # 1 C, 5, is greater than permitted",True
0,1,29,CCC(CN(C)CCC(C)N[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,CCCC(CNC(=O)CO[Cu])CNC(=O)[Au],False,novel,ok,True
0,1,29,CCCC(CNC(CO[Cu])COC(=O)[Au])C(=O))C,False,novel,"SMILES Parse Error: extra close parentheses while parsing: CCCC(CNC(CO[Cu])COC(=O)[Au])C(=O))C
[16:22:16] SMILES Parse Error: Failed parsing SMILES 'CCCC(CNC(CO[Cu])COC(=O)[Au])C(=O))C' for input: 'CCCC(CNC(CO[Cu])COC(=O)[Au])C(=O))C'",True
0,1,29,CCCC(C)(CNC(C)COC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,CCC(CN(C)CO[Cu])C(C)COC(=O)[Au],False,novel,ok,True
0,1,29,CCC(CNCCOC(C)COC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,C=CCC(CO[Cu])C(=O)OCCCOC(=O)[Au],False,novel,ok,True
0,1,29,CCC(CN(C)CCC(CCOC(=O)[Au])N[Cu],False,novel,SMILES Parse Error: extra open parentheses for input: 'CCC(CN(C)CCC(CCOC(=O)[Au])N[Cu]',True
0,1,29,O=C([Au])OCC(CCC(=O)OCCCN[Cu],False,novel,SMILES Parse Error: extra open parentheses for input: 'O=C([Au])OCC(CCC(=O)OCCCN[Cu]',True
0,1,29,CCC(CNC(=O)[Au])NCC(=O)CCN[Cu],False,novel,ok,True
0,1,29,CCC(OCC)(C)NC(=O)[Au])O[Cu],False,novel,"SMILES Parse Error: extra close parentheses while parsing: CCC(OCC)(C)NC(=O)[Au])O[Cu]
[16:22:16] SMILES Parse Error: Failed parsing SMILES 'CCC(OCC)(C)NC(=O)[Au])O[Cu]' for input: 'CCC(OCC)(C)NC(=O)[Au])O[Cu]'",True
0,1,29,CC(CO[Cu])CCNOCCC(C)(C)OC(=O)[Au],False,novel,ok,True
0,1,29,COCC(C)(CNC(=O)C(CO[Cu])OC(=O)[Au],False,novel,SMILES Parse Error: extra open parentheses for input: 'COCC(C)(CNC(=O)C(CO[Cu])OC(=O)[Au]',True
0,1,29,C#CCCCC(N[Cu])C(=O)OCCOC(=O)[Au],False,novel,ok,True
0,1,29,CC(CO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,COC(CCN(C)CC(COC(=O)[Au])O[Cu],False,novel,SMILES Parse Error: extra open parentheses for input: 'COC(CCN(C)CC(COC(=O)[Au])O[Cu]',True
0,1,29,COC(CNCC(C)(C)(C)OC(=O)[Au])O[Cu],False,novel,"Explicit valence for atom # 6 C, 5, is greater than permitted",True
0,1,29,COC(=O)CN(C)C(=O)C(CO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,CC(C)(CNC(=O)[Au])NC(=O)C(C)O[Cu],False,novel,ok,True
0,1,29,CC(CNC(=O)C(CNC(=O)CO[Cu])NC(=O)[Au],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(CNC(=O)C(CNC(=O)CO[Cu])NC(=O)[Au]',True
0,1,29,CC(CCN(C(=O)[Au])C(=O)CO[Cu],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(CCN(C(=O)[Au])C(=O)CO[Cu]',True
0,1,29,CCC(CNCC(C)(C)CCO[Cu])OC(=O)[Au],False,In the original data set,ok,True
0,1,29,C=CC(O[Cu])C(=O)N(C)CCCOC(=O)[Au],False,novel,ok,True
0,1,29,CC(C)(C)C(CNCCOC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,CC(CC)C#CC(N[Cu])C(C)(C)COC(=O)[Au],False,novel,ok,True
0,1,29,COCC(=O)NC(O[Cu])C(C)COC(=O)[Au],False,novel,ok,True
0,1,29,CCC(C=CO)N(C)C(O[Cu])C(C)OC(=O)[Au],False,novel,ok,True
0,1,29,CCCC(C)(CNC(C)CCOC(=O)[Au])O[Cu],False,In the original data set,ok,True
0,1,29,CCCCCCC(CNCC(C)OC(=O)[Au])O[Cu],False,novel,ok,True
0,1,29,CC(NC(=O)C(C)(CO[Cu])COC(=C)[Au],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(NC(=O)C(C)(CO[Cu])COC(=C)[Au]',True
0,1,29,CC(CO[Cu])NCC(CCOC(=O)[Au])C(C)(C)C,False,novel,ok,True
0,1,29,CC(C#N)CN(C)CC(CCO[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,C=CC(OC(=O)[Au])C(=O)NCCNCCCO[Cu],False,novel,ok,True
0,1,29,C=C(C(C)N(C)CO[Cu])CCOC(=O)[Au],False,novel,ok,True
0,1,29,CCCCON(C)CC(CN[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,C#CC(=O)N(C)CC(C)(CN[Cu])OC(=O)[Au],False,novel,ok,True
0,1,29,CC(C)CC(OC(=O)[Au])C(=O)NCCN[Cu],False,In the original data set,ok,True
0,1,29,CC(CCNCCC(F)NC(=O)[Au])N[Cu],False,novel,ok,True
0,1,29,COC(=O)CNCC(CO[Cu])OC(=O)[Au])OC,False,novel,"SMILES Parse Error: extra close parentheses while parsing: COC(=O)CNCC(CO[Cu])OC(=O)[Au])OC
[16:22:16] SMILES Parse Error: Failed parsing SMILES 'COC(=O)CNCC(CO[Cu])OC(=O)[Au])OC' for input: 'COC(=O)CNCC(CO[Cu])OC(=O)[Au])OC'",True
0,1,29,CCC(COC(=O)[Au])C(N[Cu])C(N[Cu])C(C)(C)#N,False,novel,"Explicit valence for atom # 14 C, 6, is greater than permitted",False
0,1,29,CCC(CNC(=O)C(C)NC(=O)[Au])CO[Cu],False,novel,ok,True
0,1,29,CN(CCCO[Cu])C(C)COC(=O)[Au],False,novel,ok,True
